node,NoT,NoR,Node_degree,sent_gas,received_gas,total_gas
17066,0.0,1.0,1.0,0.0,21000.0,21000.0
17067,1.0,0.0,1.0,21000.0,0.0,21000.0
17068,1.0,0.0,1.0,64494.0,0.0,64494.0
17069,1.0,0.0,1.0,50625.0,0.0,50625.0
17070,1.0,0.0,1.0,215089.0,0.0,215089.0
17071,1.0,0.0,1.0,21000.0,0.0,21000.0
17072,1.0,0.0,1.0,21916.0,0.0,21916.0
17073,1.0,0.0,1.0,46626.0,0.0,46626.0
17074,0.0,1.0,1.0,0.0,21000.0,21000.0
17075,1.0,0.0,1.0,21000.0,0.0,21000.0
17076,1.0,0.0,1.0,21000.0,0.0,21000.0
17077,0.0,1.0,1.0,0.0,21000.0,21000.0
17078,1.0,0.0,1.0,19435.0,0.0,19435.0
17079,0.0,1.0,1.0,0.0,21000.0,21000.0
17080,1.0,0.0,1.0,50625.0,0.0,50625.0
17081,1.0,0.0,1.0,100309.0,0.0,100309.0
17082,1.0,0.0,1.0,46109.0,0.0,46109.0
17083,1.0,0.0,1.0,65613.0,0.0,65613.0
17084,1.0,0.0,1.0,152843.0,0.0,152843.0
17085,2.0,0.0,2.0,242621.0,0.0,242621.0
17086,1.0,0.0,1.0,46609.0,0.0,46609.0
17087,1.0,0.0,1.0,429584.0,0.0,429584.0
17088,1.0,0.0,1.0,47216.0,0.0,47216.0
17089,0.0,1.0,1.0,0.0,21000.0,21000.0
17090,0.0,1.0,1.0,0.0,21000.0,21000.0
17091,2.0,0.0,2.0,463809.0,0.0,463809.0
17092,1.0,0.0,1.0,46625.0,0.0,46625.0
17093,1.0,0.0,1.0,98562.0,0.0,98562.0
17094,1.0,0.0,1.0,31097.0,0.0,31097.0
17095,3.0,0.0,3.0,63000.0,0.0,63000.0
17096,0.0,1.0,1.0,0.0,21000.0,21000.0
17097,1.0,0.0,1.0,52428.0,0.0,52428.0
17098,2.0,0.0,2.0,340883.0,0.0,340883.0
17099,0.0,1.0,1.0,0.0,21000.0,21000.0
17100,1.0,0.0,1.0,21000.0,0.0,21000.0
17101,1.0,0.0,1.0,218471.0,0.0,218471.0
17102,1.0,0.0,1.0,102896.0,0.0,102896.0
17103,0.0,1.0,1.0,0.0,21000.0,21000.0
17104,0.0,1.0,1.0,0.0,21000.0,21000.0
17105,1.0,0.0,1.0,19859.0,0.0,19859.0
17106,1.0,0.0,1.0,31097.0,0.0,31097.0
17107,1.0,0.0,1.0,27665.0,0.0,27665.0
17108,0.0,1.0,1.0,0.0,27665.0,27665.0
17109,0.0,1.0,1.0,0.0,21000.0,21000.0
17110,1.0,0.0,1.0,21000.0,0.0,21000.0
17111,1.0,0.0,1.0,31097.0,0.0,31097.0
17112,1.0,0.0,1.0,152010.0,0.0,152010.0
17113,1.0,0.0,1.0,224760.0,0.0,224760.0
17114,1.0,0.0,1.0,21000.0,0.0,21000.0
17115,0.0,1.0,1.0,0.0,21000.0,21000.0
17116,1.0,0.0,1.0,21000.0,0.0,21000.0
17117,0.0,1.0,1.0,0.0,21000.0,21000.0
17118,1.0,0.0,1.0,46097.0,0.0,46097.0
17119,1.0,0.0,1.0,119118.0,0.0,119118.0
17120,0.0,1.0,1.0,0.0,21000.0,21000.0
17121,2.0,0.0,2.0,258241.0,0.0,258241.0
17122,1.0,0.0,1.0,21000.0,0.0,21000.0
17123,0.0,1.0,1.0,0.0,21000.0,21000.0
17124,1.0,0.0,1.0,336372.0,0.0,336372.0
17125,0.0,1.0,1.0,0.0,336372.0,336372.0
17126,0.0,1.0,1.0,0.0,21000.0,21000.0
17127,1.0,0.0,1.0,34494.0,0.0,34494.0
17128,0.0,1.0,1.0,0.0,21000.0,21000.0
17129,3.0,0.0,3.0,127415.0,0.0,127415.0
17130,1.0,0.0,1.0,21000.0,0.0,21000.0
17131,1.0,0.0,1.0,46625.0,0.0,46625.0
17132,1.0,0.0,1.0,21000.0,0.0,21000.0
17133,0.0,1.0,1.0,0.0,21000.0,21000.0
17134,1.0,0.0,1.0,21000.0,0.0,21000.0
17135,1.0,0.0,1.0,46625.0,0.0,46625.0
17136,1.0,0.0,1.0,21000.0,0.0,21000.0
17137,1.0,0.0,1.0,21000.0,0.0,21000.0
17138,0.0,1.0,1.0,0.0,21000.0,21000.0
17139,0.0,1.0,1.0,0.0,21000.0,21000.0
17140,1.0,0.0,1.0,21000.0,0.0,21000.0
17141,0.0,1.0,1.0,0.0,21000.0,21000.0
17142,2.0,0.0,2.0,42000.0,0.0,42000.0
17143,0.0,1.0,1.0,0.0,21000.0,21000.0
17144,1.0,0.0,1.0,305240.0,0.0,305240.0
17145,1.0,0.0,1.0,108796.0,0.0,108796.0
17146,1.0,0.0,1.0,136057.0,0.0,136057.0
17147,1.0,0.0,1.0,63209.0,0.0,63209.0
17148,0.0,1.0,1.0,0.0,21000.0,21000.0
17149,0.0,1.0,1.0,0.0,21000.0,21000.0
17150,1.0,0.0,1.0,46292.0,0.0,46292.0
17151,0.0,1.0,1.0,0.0,21000.0,21000.0
17152,1.0,0.0,1.0,705796.0,0.0,705796.0
17153,2.0,0.0,2.0,42000.0,0.0,42000.0
17154,0.0,1.0,1.0,0.0,21000.0,21000.0
17155,1.0,0.0,1.0,63197.0,0.0,63197.0
17156,1.0,0.0,1.0,21000.0,0.0,21000.0
17157,1.0,0.0,1.0,37077.0,0.0,37077.0
17158,1.0,0.0,1.0,54776.0,0.0,54776.0
17159,0.0,2.0,2.0,0.0,128515.0,128515.0
17160,0.0,1.0,1.0,0.0,21000.0,21000.0
17161,1.0,0.0,1.0,31109.0,0.0,31109.0
17162,1.0,1.0,2.0,35112.0,21000.0,56112.0
17163,1.0,0.0,1.0,21000.0,0.0,21000.0
17164,1.0,0.0,1.0,103308.0,0.0,103308.0
17165,1.0,0.0,1.0,36535.0,0.0,36535.0
17166,1.0,0.0,1.0,562751.0,0.0,562751.0
17167,0.0,3.0,3.0,0.0,1730099.0,1730099.0
17168,4.0,0.0,4.0,499172.0,0.0,499172.0
17169,0.0,1.0,1.0,0.0,21000.0,21000.0
17170,1.0,0.0,1.0,21000.0,0.0,21000.0
17171,0.0,1.0,1.0,0.0,21000.0,21000.0
17172,0.0,1.0,1.0,0.0,21000.0,21000.0
17173,1.0,0.0,1.0,320574.0,0.0,320574.0
17174,0.0,1.0,1.0,0.0,21000.0,21000.0
